Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
776,527,0.10293377190828323,0.131872296333313,0.7000000476837158,480,840
807,528,0.12466186285018921,0.1305546760559082,0.6890000104904175,374,829
863,538,0.160781130194664,0.13309045135974884,0.6640000343322754,215,853
610,461,-0.0260345246642828,0.08788645267486572,0.7570000290870667,1401,714
662,461,0.0169234536588192,0.08753816038370132,0.7540000081062317,1210,717
687,458,0.03752672299742699,0.08506055921316147,0.7540000081062317,1120,717
737,459,0.07873326539993286,0.08588643372058868,0.7540000081062317,926,721
762,461,0.09960003197193146,0.08777035772800446,0.7560000419616699,846,722
816,462,0.14364883303642273,0.08824683725833893,0.753000020980835,651,719
607,508,-0.027914023026823997,0.12417533993721008,0.7410000562667847,1417,894
661,510,0.015800395980477333,0.12562882900238037,0.7400000095367432,1220,910
685,511,0.03530745208263397,0.12678109109401703,0.7420000433921814,1128,917
741,510,0.08072427660226822,0.12596836686134338,0.7420000433921814,909,903
762,515,0.09775558859109879,0.13003197312355042,0.7420000433921814,835,910
821,513,0.1456054449081421,0.12840652465820312,0.7420000433921814,628,908
607,521,-0.028064705431461334,0.13545376062393188,0.7450000643730164,1412,954
660,520,0.015092863701283932,0.1346377432346344,0.7450000643730164,1215,960
685,523,0.03549778833985329,0.1372697800397873,0.7460000514984131,1122,954
738,523,0.07850225269794464,0.13690175116062164,0.7440000176429749,917,958
764,521,0.099779412150383,0.13545376062393188,0.7450000643730164,824,956
818,522,0.1429794579744339,0.13553811609745026,0.7410000562667847,617,957
607,570,-0.0273489598184824,0.17096388339996338,0.7260000109672546,1397,1124
662,571,0.01627255231142044,0.17152249813079834,0.7250000238418579,1191,1142
684,573,0.03384556248784065,0.17382702231407166,0.7280000448226929,1104,1130
740,578,0.07797466963529587,0.17683695256710052,0.7240000367164612,899,1132
767,575,0.1000269204378128,0.17566275596618652,0.7290000319480896,815,1143
824,577,0.1438487321138382,0.17531448602676392,0.7210000157356262,599,1136
