Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
814,451,0.14690591394901276,0.08190813660621643,0.7790000438690186,354,679
779,457,0.11650363355875015,0.08658076077699661,0.7750000357627869,472,699
725,465,0.06966543197631836,0.09192594140768051,0.7630000114440918,690,728
689,473,0.039278898388147354,0.09770704060792923,0.7560000419616699,818,764
668,480,0.021839234977960587,0.10309270024299622,0.753000020980835,906,780
615,492,-0.02152142859995365,0.11163946241140366,0.7440000176429749,1095,814
637,525,-0.003582208650186658,0.1366695910692215,0.734000027179718,1018,957
628,539,-0.010729056783020496,0.14691737294197083,0.7290000319480896,1047,995
681,527,0.03202018141746521,0.13959625363349915,0.7410000562667847,851,970
701,524,0.04834875836968422,0.1375315636396408,0.7430000305175781,778,952
753,514,0.09191936254501343,0.13130903244018555,0.7540000081062317,581,916
774,509,0.10951583087444305,0.12751705944538116,0.7560000419616699,497,906
824,499,0.15302631258964539,0.1209714263677597,0.7670000195503235,307,872
631,550,-0.00829288549721241,0.15484635531902313,0.7250000238418579,1042,1027
682,540,0.0327414944767952,0.14974212646484375,0.7390000224113464,840,998
707,536,0.05286325514316559,0.1463061422109604,0.7380000352859497,747,980
755,526,0.09307124465703964,0.14047026634216309,0.7500000596046448,554,951
781,522,0.1148425042629242,0.13773305714130402,0.753000020980835,453,943
828,512,0.15515637397766113,0.13086102902889252,0.7610000371932983,262,913
822,525,0.1495736837387085,0.14113835990428925,0.7580000162124634,293,962
794,532,0.12487510591745377,0.1452053040266037,0.7490000128746033,393,983
751,542,0.08871470391750336,0.15177063643932343,0.7410000562667847,557,1015
722,548,0.06469881534576416,0.15537206828594208,0.7350000143051147,672,1030
675,556,0.026757458224892616,0.16071173548698425,0.7300000190734863,839,1058
646,562,0.0035688327625393867,0.16324195265769958,0.7200000286102295,937,1073
811,447,0.13378924131393433,0.07275159657001495,0.7220000624656677,205,562
754,450,0.08893042802810669,0.07522809505462646,0.7230000495910645,415,574
726,450,0.06717309355735779,0.07564429193735123,0.7270000576972961,505,581
673,452,0.025230595842003822,0.07776807993650436,0.7320000529289246,703,590
648,452,0.005242767743766308,0.07798056304454803,0.734000027179718,781,585
592,456,-0.03990064933896065,0.0816388800740242,0.7380000352859497,984,597
812,499,0.13103684782981873,0.11087732762098312,0.703000009059906,214,744
753,503,0.08594582229852676,0.1142815500497818,0.7050000429153442,424,748
729,500,0.0676434189081192,0.11228259652853012,0.7070000171661377,511,755
671,504,0.02292022295296192,0.11586973816156387,0.7100000381469727,716,760
646,505,0.003519265679642558,0.11664740741252899,0.7100000381469727,807,773
590,506,-0.04016388952732086,0.11808662861585617,0.7140000462532043,1011,780
812,510,0.13066405057907104,0.11900784820318222,0.7010000348091125,228,783
754,511,0.08634738624095917,0.11994652450084686,0.7020000219345093,431,790
726,515,0.06477075070142746,0.12284691631793976,0.7010000348091125,515,795
672,515,0.023596135899424553,0.12389838695526123,0.7070000171661377,718,806
647,516,0.004265055060386658,0.12432009726762772,0.7050000429153442,810,807
589,518,-0.040714919567108154,0.12675713002681732,0.7100000381469727,1011,822
602,563,-0.029677433893084526,0.15674032270908356,0.6880000233650208,967,953
635,562,-0.004861694760620594,0.1559867560863495,0.6880000233650208,849,953
684,559,0.032032404094934464,0.15394946932792664,0.6890000104904175,666,937
715,560,0.055136922746896744,0.15403054654598236,0.6860000491142273,561,937
770,556,0.09637625515460968,0.15102499723434448,0.6860000491142273,373,934
802,560,0.12107191979885101,0.15492868423461914,0.690000057220459,262,986
815,571,0.12973816692829132,0.1618226021528244,0.6840000152587891,211,1026
755,573,0.08537735044956207,0.16427607834339142,0.6880000233650208,419,1037
729,575,0.06592123210430145,0.16602419316768646,0.6890000104904175,503,1040
672,577,0.02299538441002369,0.1675335317850113,0.6890000104904175,708,1050
646,578,0.003435001475736499,0.16926519572734833,0.6930000185966492,797,1056
587,580,-0.04137403145432472,0.17127619683742523,0.6950000524520874,1014,1067
626,467,-0.012339570559561253,0.08954927325248718,0.7300000190734863,962,659
682,458,0.0321655236184597,0.08190181106328964,0.7260000109672546,769,630
703,453,0.04903136193752289,0.07824783772230148,0.7290000319480896,686,623
738,447,0.07734160870313644,0.07385999709367752,0.7330000400543213,561,590
760,459,0.09406059235334396,0.08269701153039932,0.7260000109672546,487,637
782,459,0.1110573559999466,0.08235529810190201,0.7230000495910645,392,635
798,442,0.12524117529392242,0.06975039094686508,0.7320000529289246,326,565
829,439,0.15045374631881714,0.06752908229827881,0.734000027179718,213,559
847,483,0.15995226800441742,0.09981901198625565,0.7120000123977661,190,719
790,490,0.11510643362998962,0.10483445972204208,0.7090000510215759,393,743
764,493,0.09509178251028061,0.10731534659862518,0.7100000381469727,481,759
710,504,0.05311080813407898,0.11570654064416885,0.7090000510215759,686,789
684,510,0.032915737479925156,0.12019622325897217,0.7080000042915344,766,798
667,501,0.019899800419807434,0.11401645094156265,0.7130000591278076,822,764
636,508,-0.0042709847912192345,0.1198183074593544,0.7150000333786011,931,790
626,520,-0.011950789950788021,0.1277703046798706,0.7070000171661377,967,839
633,481,-0.006717271637171507,0.10019133985042572,0.7260000109672546,940,703
