Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
360,224,0.057453468441963196,-0.018692510202527046,0.8980000615119934,865,714
350,217,0.04263542965054512,-0.028955580666661263,0.8960000276565552,929,657
366,219,0.06599192321300507,-0.025953318923711777,0.8940000534057617,832,678
374,240,0.07902173697948456,0.004973858594894409,0.909000039100647,779,815
343,236,0.03260513022542,-0.0009933761321008205,0.9030000567436218,947,797
362,234,0.06012900918722153,-0.00392110412940383,0.8940000534057617,830,761
360,249,0.05764540284872055,0.018252920359373093,0.9010000228881836,846,862
355,160,0.05042672157287598,-0.11387302726507187,0.9040000438690186,871,286
391,173,0.10320916026830673,-0.09404180943965912,0.8990000486373901,437,418
375,251,0.0731605738401413,0.01944771595299244,0.8260000348091125,851,781
384,254,0.08534874767065048,0.023518994450569153,0.8260000348091125,799,792
360,244,0.058285199105739594,0.01097178179770708,0.9110000729560852,988,882
367,235,0.06896676868200302,-0.002507150871679187,0.9140000343322754,918,825
364,243,0.06397745013237,0.009433434344828129,0.9070000648498535,1033,872
371,234,0.07446876168251038,-0.003982508555054665,0.9080000519752502,977,808
347,205,0.0392523817718029,-0.04786955192685127,0.9200000166893005,958,549
400,207,0.12541413307189941,-0.04718630760908127,0.968000054359436,618,681
430,143,0.1676633656024933,-0.14435464143753052,0.9380000233650208,407,257
351,200,0.051143430173397064,-0.06259660422801971,1.0390000343322754,1038,618
340,222,0.031906355172395706,-0.024655986577272415,1.0230000019073486,1119,791
333,200,0.020520593971014023,-0.06271709501743317,1.0410000085830688,1174,692
438,224,0.16787901520729065,-0.018213748931884766,0.8750000596046448,703,948
342,175,0.024024227634072304,-0.07062087208032608,0.6970000267028809,1019,433
333,174,0.013877521269023418,-0.0724867731332779,0.7040000557899475,1080,451
380,268,0.06890003383159637,0.036650143563747406,0.7120000123977661,806,864
413,256,0.11179748177528381,0.023533640429377556,0.7410000562667847,629,840
324,253,0.0036828492302447557,0.01993498019874096,0.7430000305175781,1115,829
366,215,0.054181285202503204,-0.026132185012102127,0.734000027179718,899,545
322,186,0.001981356181204319,-0.09831652790307999,1.1810001134872437,1252,564
329,207,0.015535248443484306,-0.057569246739149094,1.1810001134872437,1193,777
330,194,0.01751589961349964,-0.08300405740737915,1.184000015258789,1226,660
323,211,0.003907674923539162,-0.04968133568763733,1.1780000925064087,1290,814
344,203,0.0454852320253849,-0.06665825843811035,1.2050000429153442,792,835
364,215,0.09381477534770966,-0.04735123738646507,1.3300000429153442,749,1133
415,198,0.20009037852287292,-0.08246571570634842,1.2980000972747803,379,1078
334,199,0.01735909841954708,-0.050316520035266876,0.8130000233650208,887,344
402,213,0.12128210067749023,-0.035505082458257675,0.9130000472068787,475,532
447,192,0.19566667079925537,-0.06950101256370544,0.9470000267028809,290,338
438,213,0.1799663007259369,-0.03647729009389877,0.9380000233650208,153,499
330,263,0.01420208066701889,0.04152967408299446,0.9600000381469727,908,906
440,310,0.17465099692344666,0.1078292578458786,0.8950000405311584,273,1173
296,193,-0.04189160466194153,-0.07339794933795929,1.0230000019073486,1366,523
290,203,-0.051802609115839005,-0.056424424052238464,1.0200001001358032,1419,600
285,213,-0.06004617363214493,-0.039588358253240585,1.0180000066757202,1454,673
278,224,-0.07165892422199249,-0.02116958051919937,1.0170000791549683,1494,749
272,234,-0.08166325092315674,-0.0044605848379433155,1.0170000791549683,1540,826
266,244,-0.0914873257279396,0.012224323116242886,1.0150001049041748,1581,911
261,255,-0.09931620210409164,0.030417488887906075,1.0099999904632568,1623,982
255,264,-0.10871083289384842,0.045127563178539276,1.0049999952316284,1656,1055
317,201,-0.007308801636099815,-0.06569508463144302,1.121000051498413,1138,649
316,211,-0.009048787876963615,-0.04677131026983261,1.1090000867843628,1098,729
316,219,-0.008991670794785023,-0.03199167177081108,1.1019999980926514,1067,792
315,228,-0.010788621380925179,-0.015682464465498924,1.1010000705718994,1077,858
310,237,-0.019598208367824554,0.0005912014748901129,1.0890001058578491,1100,942
305,246,-0.028472989797592163,0.016663281247019768,1.0870000123977661,1130,1013
303,257,-0.03174257278442383,0.03597423806786537,1.0770000219345093,1123,1086
297,264,-0.04221919924020767,0.048225872218608856,1.0740000009536743,1152,1140
301,211,-0.02331954799592495,-0.03002810664474964,0.7120000123977661,1063,417
