Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
767,255,0.06361343711614609,-0.06420689821243286,0.49500003457069397,221,401
758,444,0.0596567764878273,0.03947871923446655,0.503000020980835,294,903
792,424,0.07958033680915833,0.02879207395017147,0.5100000500679016,214,828
652,429,0.0009945784695446491,0.03271641954779625,0.527999997138977,550,852
734,409,0.04498147964477539,0.01948654279112816,0.4880000352859497,367,778
692,258,0.022964149713516235,-0.06320308893918991,0.5,450,441
743,250,0.050328005105257034,-0.06666285544633865,0.4930000305175781,308,408
739,466,0.049621812999248505,0.05218233913183212,0.5080000162124634,314,958
