Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
833,529,0.0893264189362526,0.07642140984535217,0.4440000355243683,100,1313
700,530,0.02446754090487957,0.07743017375469208,0.44700002670288086,405,1319
761,506,0.05315070599317551,0.06399786472320557,0.4360000193119049,281,1247
695,442,0.021563461050391197,0.03341211751103401,0.43800002336502075,424,1133
807,443,0.07523468136787415,0.033739835023880005,0.4360000193119049,194,1124
762,629,0.053384777158498764,0.12250850349664688,0.43400001525878906,289,1506
760,659,0.054482679814100266,0.14221151173114777,0.45100003480911255,285,1614
710,656,0.030375752598047256,0.14415329694747925,0.4620000123977661,393,1644
799,500,0.07155773043632507,0.06125631928443909,0.43700000643730164,184,1253
