Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
749,382,0.043259378522634506,0.004055202938616276,0.398000031709671,441,764
622,368,-0.012802568264305592,-0.0021507958881556988,0.41100001335144043,671,767
618,287,-0.014079487882554531,-0.037406377494335175,0.3960000276565552,636,599
664,301,0.005948241800069809,-0.03114117681980133,0.39400002360343933,543,623
587,322,-0.027457408607006073,-0.022026756778359413,0.39400002360343933,685,674
703,343,0.02269386500120163,-0.012814017944037914,0.39100003242492676,457,705
532,322,-0.05144883692264557,-0.022082660347223282,0.39500001072883606,784,679
826,361,0.0750693827867508,-0.0050223092548549175,0.3880000114440918,207,739
854,139,0.08994793146848679,-0.10325487703084946,0.4010000228881836,155,349
710,125,0.02636510133743286,-0.10943911224603653,0.4010000228881836,419,326
526,536,-0.057069331407547,0.07498965412378311,0.41700002551078796,820,1079
511,574,-0.0647236779332161,0.09355363994836807,0.4220000207424164,857,1163
515,612,-0.0628649964928627,0.11121847480535507,0.4220000207424164,841,1251
553,642,-0.04520750418305397,0.12516440451145172,0.4220000207424164,757,1317
495,440,-0.06976453214883804,0.03022473119199276,0.40800002217292786,846,900
467,355,-0.08194003254175186,-0.007938736118376255,0.406000018119812,891,723
440,326,-0.09377891570329666,-0.02085716649889946,0.4050000309944153,945,678
410,473,-0.11006791889667511,0.04593977704644203,0.41600000858306885,1006,973
449,599,-0.09397655725479126,0.10567370802164078,0.4240000247955322,943,1242
535,325,-0.05382547527551651,-0.022302716970443726,0.4240000247955322,795,730
