Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
716,309,0.035526346415281296,-0.034480929374694824,0.4910000264644623,420,725
661,284,0.0057553318329155445,-0.04770945385098457,0.4880000352859497,563,662
629,309,-0.011533458717167377,-0.03455115482211113,0.492000013589859,634,729
581,308,-0.037537407130002975,-0.03509313240647316,0.492000013589859,753,737
586,227,-0.03447471186518669,-0.07819026708602905,0.4870000183582306,740,549
595,134,-0.029526764526963234,-0.12755563855171204,0.48500001430511475,708,342
599,40,-0.027277648448944092,-0.17704327404499054,0.4830000102519989,679,161
827,230,0.09398161619901657,-0.07595186680555344,0.4830000102519989,161,559
917,151,0.14125975966453552,-0.1174960732460022,0.48100003600120544,147,379
726,356,0.04009915888309479,-0.00887539517134428,0.48100003600120544,421,829
634,356,-0.008681222796440125,-0.008930751122534275,0.484000027179718,639,842
670,330,0.010439506731927395,-0.02265167608857155,0.48100003600120544,549,776
729,540,0.042554765939712524,0.09046065807342529,0.4910000264644623,421,1269
788,574,0.07475626468658447,0.10929371416568756,0.4930000305175781,268,1367
677,538,0.01455872505903244,0.09010705351829529,0.49500003457069397,544,1273
867,551,0.12002764642238617,0.0987665131688118,0.503000020980835,70,1329
539,548,-0.06053594499826431,0.09536679089069366,0.49400001764297485,889,1313
550,487,-0.05499420687556267,0.06267538666725159,0.49800002574920654,850,1166
737,522,0.04907594993710518,0.08450636267662048,0.5139999985694885,371,1281
719,569,0.03964501619338989,0.11328001320362091,0.5240000486373901,416,1422
