Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
696,301,0.0311056487262249,-0.0488458052277565,0.6180000305175781,391,866
625,301,-0.017236953601241112,-0.04892484098672867,0.6190000176429749,606,872
655,282,0.003215951379388571,-0.061980415135622025,0.6200000047683716,516,811
747,307,0.06559763848781586,-0.04461631178855896,0.6160000562667847,236,892
777,248,0.08455102145671844,-0.08327768743038177,0.6060000061988831,150,706
786,171,0.09160253405570984,-0.13623501360416412,0.6130000352859497,124,503
789,102,0.09378022700548172,-0.1831265240907669,0.6140000224113464,112,301
620,310,-0.020811665803194046,-0.04313359409570694,0.6240000128746033,628,931
554,312,-0.06669014692306519,-0.042093437165021896,0.6290000081062317,822,940
519,307,-0.09237686544656754,-0.04628217965364456,0.6390000581741333,925,943
521,251,-0.08911891281604767,-0.08395737409591675,0.6260000467300415,901,767
681,319,0.02062777616083622,-0.036118216812610626,0.6100000143051147,402,952
719,444,0.04705953970551491,0.048818618059158325,0.6220000386238098,324,1315
718,493,0.048909593373537064,0.0868961364030838,0.656000018119812,329,1501
