Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
758,335,0.04838959127664566,-0.01696668565273285,0.40800002217292786,369,660
691,293,0.018289491534233093,-0.035843249410390854,0.40800002217292786,493,592
604,315,-0.02094862051308155,-0.026146376505494118,0.41100001335144043,662,644
612,228,-0.01707518845796585,-0.06457863003015518,0.4050000309944153,631,465
718,111,0.02877911925315857,-0.11129827797412872,0.38600000739097595,439,268
864,123,0.08918635547161102,-0.10426995903253555,0.3790000081062317,152,281
529,472,-0.05929778143763542,0.04854278266429901,0.4440000355243683,762,1026
527,455,-0.059868305921554565,0.039956290274858475,0.4410000145435333,813,973
514,394,-0.06498043984174728,0.010135593824088573,0.43300002813339233,839,852
487,274,-0.07641518115997314,-0.04623192548751831,0.42500001192092896,890,599
534,241,-0.05416429415345192,-0.061391230672597885,0.4230000078678131,776,533
521,501,-0.06263948976993561,0.062161535024642944,0.4400000274181366,836,1090
489,498,-0.07849840074777603,0.06098340451717377,0.44200003147125244,906,1090
440,471,-0.10327257215976715,0.04827013611793518,0.44600000977516174,1011,1037
508,351,-0.06533431261777878,-0.009991250932216644,0.41700002551078796,831,748
764,395,0.05020866543054581,0.009828273206949234,0.4010000228881836,353,807
740,569,0.04030299931764603,0.08820275962352753,0.40800002217292786,400,1156
791,577,0.06708847731351852,0.09742318838834763,0.43300002813339233,273,1188
731,635,0.03937021270394325,0.12797698378562927,0.44300001859664917,375,1378
678,587,0.013547630980610847,0.104789137840271,0.4440000355243683,517,1272
726,342,0.033263128250837326,-0.013515723869204521,0.39900001883506775,409,688
560,326,-0.0405629426240921,-0.02101166360080242,0.40800002217292786,748,685
