Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
800,214,0.047311604022979736,-0.050189245492219925,0.28700000047683716,636,37
757,208,0.034310244023799896,-0.05299358442425728,0.29200002551078796,748,16
691,254,0.012506783939898014,-0.036496683955192566,0.27900001406669617,929,117
648,532,-0.000768841418903321,0.05350462347269058,0.3050000071525574,932,509
624,554,-0.008771113120019436,0.06049686297774315,0.30300000309944153,1061,583
579,503,-0.023627832531929016,0.04318729043006897,0.30100002884864807,1161,441
