Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
705,290,0.03283232823014259,-0.04967992752790451,0.5450000166893005,416,693
746,276,0.057015202939510345,-0.05765862390398979,0.5410000085830688,318,656
717,346,0.0404009073972702,-0.01620723493397236,0.550000011920929,386,836
721,434,0.04243405908346176,0.03677157685160637,0.5450000166893005,397,1064
745,464,0.059235263615846634,0.05709422007203102,0.5680000185966492,309,1172
777,448,0.0809234231710434,0.04807783663272858,0.5800000429153442,221,1127
715,501,0.04154105484485626,0.0823640301823616,0.5830000042915344,389,1318
698,555,0.030785508453845978,0.11764606088399887,0.5860000252723694,448,1475
740,573,0.05768860876560211,0.12882429361343384,0.5840000510215759,312,1551
566,456,-0.05624423921108246,0.0555734746158123,0.6060000061988831,771,1268
573,413,-0.05097757652401924,0.026558304205536842,0.5990000367164612,752,1116
547,371,-0.06767142564058304,-0.001147373695857823,0.5950000286102295,837,1001
561,476,-0.05938398838043213,0.06869708001613617,0.6040000319480896,803,1305
516,313,-0.08783363550901413,-0.03909686207771301,0.5940000414848328,894,835
684,142,0.020044462755322456,-0.13726191222667694,0.5400000214576721,414,405
731,183,0.04852400720119476,-0.11412721872329712,0.5460000038146973,299,509
803,200,0.09197922796010971,-0.10409271717071533,0.5470000505447388,102,570
511,257,-0.08941683173179626,-0.07433702796697617,0.5830000042915344,908,767
667,83,0.010911442339420319,-0.18927468359470367,0.593000054359436,523,290
665,115,0.009265356697142124,-0.16240866482257843,0.5720000267028809,521,377
