Im_x,Im_y,Ca_x,Ca_y,Ca_z,Mi_x,Mi_y
818,263,0.05373864248394966,-0.03518141061067581,0.29100000858306885,343,177
668,249,0.0059479642659425735,-0.04157770425081253,0.3050000071525574,548,171
888,240,0.07957108318805695,-0.04445529356598854,0.30400002002716064,215,164
771,389,0.040007852017879486,0.00538789015263319,0.30100002884864807,380,376
810,575,0.05486830323934555,0.06951131671667099,0.31200000643730164,320,680
703,582,0.018747104331851006,0.07445269078016281,0.3230000138282776,478,714
857,541,0.0726083517074585,0.059123191982507706,0.3190000057220459,228,644
787,467,0.044558148831129074,0.030731521546840668,0.29600000381469727,347,505
777,660,0.0452054962515831,0.10252216458320618,0.3240000009536743,336,860
522,429,-0.04873517528176308,0.021377207711338997,0.3450000286102295,640,592
485,497,-0.06370092928409576,0.04790447652339935,0.3500000238418579,694,723
519,553,-0.05103134736418724,0.07009099423885345,0.3530000150203705,627,818
554,255,-0.03573065251111984,-0.04371257498860359,0.3370000123977661,519,373
1018,581,0.11377465724945068,0.06446199864149094,0.281000018119812,87,696
690,630,0.014823137782514095,0.09606556594371796,0.33900001645088196,460,900
591,549,-0.022980105131864548,0.06834141910076141,0.35200002789497375,633,792
470,489,-0.07146698236465454,0.046100642532110214,0.36000001430511475,797,708
378,424,-0.1091352254152298,0.020549636334180832,0.36400002241134644,934,610
529,260,-0.0392647422850132,-0.03651569038629532,0.2939999997615814,657,297
555,415,-0.031162593513727188,0.013822643086314201,0.2970000207424164,618,533
513,374,-0.04474673420190811,0.0004074031312484294,0.29600000381469727,692,466
